id,date,medtype,medium,headline
12141,2015-04-18T10:32:43Z,Internet,4 NOS.nl,'Wiebes komt met alternatief voor opvolger VAR-verklaring'
12157,2015-04-18T18:48:33Z,Internet,4 NOS.nl,Duitsers de straat op tegen vrijhandelsverdrag
12161,2015-04-19T05:23:23Z,Internet,4 NOS.nl,Nederland steekt geld in economisch herstel ebola-landen
12183,2015-04-20T11:47:10Z,Internet,4 NOS.nl,"""Als ING-top meer krijgt, dan de medewerkers ook"""
12203,2015-04-21T06:26:37Z,Internet,4 NOS.nl,Verfreus AkzoNobel ziet omzet en winst stijgen
12205,2015-04-21T08:04:56Z,Internet,4 NOS.nl,PvdA: geef ambtenaren nu loonsverhoging
12239,2015-04-22T04:19:56Z,Internet,4 NOS.nl,Voor het eerst in vijf jaar meer mensen in winkelstraten
12241,2015-04-22T05:19:08Z,Internet,4 NOS.nl,Ook Nationale-Nederlanden stuurt uitzendkracht weg
12245,2015-04-22T08:02:06Z,Internet,4 NOS.nl,Grootste stijging consumptie in vier jaar tijd
12255,2015-04-22T10:00:30Z,Internet,4 NOS.nl,TSN Thuiszorg vreest honderden gedwongen ontslagen
12267,2015-04-22T17:45:26Z,Internet,4 NOS.nl,Lokale overheden Griekenland betalen niet
12285,2015-04-23T11:23:17Z,Internet,4 NOS.nl,Bezetting gemeentehuis in Borculo is voorbij
12293,2015-04-23T15:03:19Z,Internet,4 NOS.nl,Stoet prominenten wil meer geld voor defensie
12311,2015-04-24T15:41:11Z,Internet,4 NOS.nl,Ploumen naar Cuba voor handelsmissie
12319,2015-04-24T16:32:55Z,Internet,4 NOS.nl,Pensioenpremie ambtenaren toch uitbetaald
12323,2015-04-24T18:48:24Z,Internet,4 NOS.nl,'Urgentie bij Grieken is niet hoog genoeg'
12347,2015-04-26T12:45:27Z,Internet,4 NOS.nl,Beleid gericht op laagste inkomens meest effectief
12351,2015-04-26T13:05:50Z,Internet,4 NOS.nl,Asscher omarmt loonkostensubsidie
12363,2015-04-27T06:42:30Z,Internet,4 NOS.nl,Deutsche Bank bezuinigt miljarden na megaboete
12365,2015-04-27T07:13:22Z,Internet,4 NOS.nl,Cameron profiteert maar niet van mooie groeicijfers
12367,2015-04-27T11:56:21Z,Internet,4 NOS.nl,Spanje rekent op grootste groei in 8 jaar
12379,2015-04-28T07:32:18Z,Internet,4 NOS.nl,'Nepal heeft hoge aaibaarheidsfactor'
12401,2015-04-28T16:00:02Z,Internet,4 NOS.nl,Thuiszorgers bezorgd over kwart loonverlaging
12409,2015-04-29T02:44:07Z,Internet,4 NOS.nl,Overleg over cao grootmetaal gestrand
12415,2015-04-29T05:37:30Z,Internet,4 NOS.nl,'Ook consument is weer motor voor de economie'
12425,2015-04-29T10:08:30Z,Internet,4 NOS.nl,Frankrijk komt deels terug van bezuiniging op leger
12459,2015-04-30T15:19:03Z,Internet,4 NOS.nl,Dijsselbloem chagrijnig over naheffing
12461,2015-04-30T17:14:07Z,Internet,4 NOS.nl,Britse bedrijven zien EU-referendum niet zitten
12483,2015-05-01T09:53:13Z,Internet,4 NOS.nl,Straatvegers Den Haag in vaste dienst
12501,2015-05-02T13:32:05Z,Internet,4 NOS.nl,Van Baalen (VVD) wil Griekenland uit de euro
12515,2015-05-04T12:08:34Z,Internet,4 NOS.nl,Stroom in jaar tijd 20 procent goedkoper
12523,2015-05-04T17:56:26Z,Internet,4 NOS.nl,Doorstart voor Miss Etam en Promiss
12535,2015-05-05T09:37:30Z,Internet,4 NOS.nl,Vakantiegeld gaat vooral op aan....vakantie
12537,2015-05-05T09:50:05Z,Internet,4 NOS.nl,"Europese economie groeit, maar niet in Griekenland"
12541,2015-05-05T15:04:44Z,Internet,4 NOS.nl,'Achterblijven Griekse economie is beetje eigen schuld'
12573,2015-05-06T20:01:08Z,Internet,4 NOS.nl,'Veel werkgevers ontslaan flexkrachten'
12583,2015-05-07T05:42:40Z,Internet,4 NOS.nl,"1,8 miljard euro winst voor ING Bank"
12585,2015-05-07T07:43:58Z,Internet,4 NOS.nl,Vakantiegeld voor meeste werknemers fors lager
