i,perc,n,acc,cor,alpha
7,0.6684210526315789,4100,0.6091549295774648,0.5468867819014505,0.5218491260349587
7,0.7157894736842105,4257,0.5774647887323944,0.5109954372477334,0.4686883186793469
7,0.7631578947368421,4574,0.6232394366197183,0.5328410027186652,0.5050936635923604
7,0.8105263157894737,4854,0.6584507042253521,0.5580569507884752,0.5503158110953252
7,0.8578947368421053,5203,0.6408450704225352,0.5375905653160866,0.5344827586206897
7,0.9052631578947369,5483,0.6725352112676056,0.5431288938675652,0.5305892841980131
7,0.9526315789473684,5759,0.6408450704225352,0.5581559882064917,0.5328099608615047
7,1.0,6038,0.647887323943662,0.6143189223223715,0.6069312242671216
8,0.1,607,0.426056338028169,0.3729620422053464,0.09425478767693574
8,0.1473684210526316,907,0.4295774647887324,0.4115311552303736,0.24049638947481866
8,0.19473684210526315,1155,0.31338028169014087,0.2665172256581278,-0.17372103840079345
8,0.24210526315789474,1454,0.6126760563380281,0.5528859789893555,0.5358024389647841
8,0.2894736842105263,1728,0.545774647887324,0.4647396769350066,0.3845875542691751
8,0.33684210526315794,2003,0.5563380281690141,0.45860086727185817,0.45790043979858497
8,0.38421052631578945,2305,0.5352112676056338,0.3875151594514394,0.36131212452211914
8,0.43157894736842106,2641,0.5704225352112676,0.4966784957760149,0.4919223258729015
8,0.4789473684210527,2939,0.6056338028169014,0.5172045403734101,0.4859357646365512
8,0.5263157894736842,3158,0.6056338028169014,0.5473083791627392,0.5339312912506347
8,0.5736842105263158,3442,0.6161971830985915,0.5528697691270189,0.5417030758476057
8,0.6210526315789474,3723,0.5774647887323944,0.483064149847396,0.46021005650642866
8,0.6684210526315789,4025,0.6126760563380281,0.49272135117754906,0.48988897294865774
8,0.7157894736842105,4355,0.49295774647887325,0.4964091465053375,0.26860488192101606
8,0.7631578947368421,4604,0.6443661971830986,0.5954898142531877,0.5893840820590749
8,0.8105263157894737,4864,0.6443661971830986,0.5142836911383272,0.5081182732508354
8,0.8578947368421053,5197,0.647887323943662,0.5493697276654849,0.5331256259040837
8,0.9052631578947369,5438,0.6302816901408451,0.5391465143496814,0.5110195477194328
8,0.9526315789473684,5772,0.6408450704225352,0.584213628796767,0.5804683981384177
8,1.0,6038,0.6408450704225352,0.5243108124872288,0.49305465571306406
9,0.1,602,0.5352112676056338,0.4134612180287861,0.3670292264239571
9,0.1473684210526316,889,0.4788732394366197,0.3089373485637271,0.22068910030774191
9,0.19473684210526315,1160,0.4894366197183099,0.3656872037830609,0.344478205046274
9,0.24210526315789474,1467,0.5633802816901409,0.46089831871148057,0.44697612410616894
9,0.2894736842105263,1765,0.5492957746478874,0.46317160239622174,0.41032486330009643
9,0.33684210526315794,2046,0.5035211267605634,0.3680900782223783,0.15738587688165473
9,0.38421052631578945,2370,0.5845070422535211,0.46826435484573675,0.45140459222318674
9,0.43157894736842106,2642,0.5387323943661971,0.455133443355998,0.35606839804577006
9,0.4789473684210527,2874,0.5246478873239436,0.42142268749110184,0.35212847550127047
9,0.5263157894736842,3226,0.5845070422535211,0.4999972283617772,0.43912974766896695
9,0.5736842105263158,3510,0.5598591549295775,0.5366572800087531,0.47944170695425814
9,0.6210526315789474,3735,0.6514084507042254,0.5583148215840784,0.5561768723492426
9,0.6684210526315789,4015,0.6302816901408451,0.49506671106158834,0.48835003123626186
9,0.7157894736842105,4313,0.6654929577464789,0.6080424163717307,0.5995168537325126
9,0.7631578947368421,4630,0.6654929577464789,0.6228500305320032,0.6181286142269908
9,0.8105263157894737,4868,0.5845070422535211,0.4604385264575419,0.4082654978083907
9,0.8578947368421053,5174,0.6584507042253521,0.5965524090563852,0.5924744897959184
9,0.9052631578947369,5471,0.6373239436619719,0.5706140300914132,0.5611940298507463
9,0.9526315789473684,5770,0.5845070422535211,0.502532666558848,0.4475812846946867
9,1.0,6038,0.6302816901408451,0.6009079085626522,0.5881176930766222
10,0.1,570,0.43661971830985913,0.3641403064977889,0.10723350253807096
10,0.1473684210526316,858,0.4859154929577465,0.3747494854753845,0.33286169610675875
10,0.19473684210526315,1174,0.5704225352112676,0.4675821647684136,0.45426263203323414
10,0.24210526315789474,1439,0.4647887323943662,0.33148774473669945,0.2297469700191367
10,0.2894736842105263,1734,0.5950704225352113,0.5006904471770889,0.4825222985571028
10,0.33684210526315794,2041,0.545774647887324,0.4098045794495258,0.4049534737283986
10,0.38421052631578945,2399,0.5669014084507042,0.4937204470254861,0.40630903641490723
10,0.43157894736842106,2557,0.5845070422535211,0.5225526694258579,0.499341816586222
10,0.4789473684210527,2876,0.5633802816901409,0.5150744269083563,0.48709206039941544
10,0.5263157894736842,3186,0.6408450704225352,0.5609664974984035,0.56067130861959
10,0.5736842105263158,3456,0.5915492957746479,0.5254308900160642,0.5252407289073001
10,0.6210526315789474,3724,0.5880281690140845,0.48966163156205356,0.44294623533432054
10,0.6684210526315789,4035,0.6126760563380281,0.5273782371873804,0.5246347850055126
10,0.7157894736842105,4342,0.6514084507042254,0.6222451908123136,0.6177442189712128
10,0.7631578947368421,4591,0.6725352112676056,0.6000122717108575,0.59750037644933
10,0.8105263157894737,4876,0.6161971830985915,0.53466138354997,0.5138506565926804
10,0.8578947368421053,5208,0.6197183098591549,0.5394473138593934,0.5183463507869464
10,0.9052631578947369,5485,0.6443661971830986,0.5772400258766225,0.5757077545758935
10,0.9526315789473684,5769,0.647887323943662,0.5566369099199452,0.5397617399193066
10,1.0,6038,0.6232394366197183,0.5759681268377409,0.5623560673162091
11,0.1,620,0.4612676056338028,0.3240054797537272,0.1312986381322957
11,0.1473684210526316,933,0.47183098591549294,0.3717303160576629,0.31499677835051554
