i,n,acc,cor,alpha
13,5050,0.602112676056338,0.546984374156393,0.5020540718954634
13,5555,0.6584507042253521,0.5885490522684297,0.5770195870504751
13,6038,0.647887323943662,0.5927784116157413,0.5821919893792591
14,505,0.3591549295774648,0.071004008244012,-0.3501735441573468
14,1010,0.46830985915492956,0.425193521043108,0.2766461545058856
14,1515,0.6091549295774648,0.5518327037870782,0.5191494262501046
14,2020,0.5598591549295775,0.4824116719967395,0.37364864864864866
14,2525,0.5598591549295775,0.5175080126068848,0.43104931192660545
14,3030,0.5528169014084507,0.5238878911177463,0.450569014084507
14,3535,0.5845070422535211,0.5704231336154271,0.5434209700696493
14,4040,0.5774647887323944,0.5312080602806278,0.4754856614246068
14,4545,0.6408450704225352,0.5668372155231214,0.5514023218639497
14,5050,0.676056338028169,0.6148975345955843,0.606241034631936
14,5555,0.6338028169014085,0.5461172187162886,0.5423307994114762
14,6038,0.6302816901408451,0.5181668580262577,0.5189850638833904
15,505,0.4014084507042254,0.11866964724238319,0.05287536907115964
15,1010,0.5,0.4194204989595494,0.39568256361034726
15,1515,0.4507042253521127,0.36992152609806356,0.1868663287086445
15,2020,0.5492957746478874,0.5196873831383295,0.5200752823086574
15,2525,0.4964788732394366,0.49398114704161245,0.3340351032709865
15,3030,0.6056338028169014,0.4979802949379271,0.41770851937846054
15,3535,0.6197183098591549,0.4930433896620468,0.47796922267525976
15,4040,0.6232394366197183,0.5672035281945517,0.5281352026118686
15,4545,0.6197183098591549,0.5426922360764646,0.5218500659502238
15,5050,0.6197183098591549,0.5719370869773011,0.5513451732020398
15,5555,0.6161971830985915,0.49726009568624513,0.4778524726033705
15,6038,0.6302816901408451,0.5513209490206368,0.5336427801758491
16,505,0.4225352112676056,0.3130748170932686,0.25999511228739747
16,1010,0.5070422535211268,0.3672560041100503,0.3295075125208681
16,1515,0.528169014084507,0.4106610796287998,0.38001070190540454
16,2020,0.573943661971831,0.48216664327310055,0.45734167376096524
16,2525,0.5915492957746479,0.5657248998345724,0.5196811449317302
16,3030,0.5528169014084507,0.4919917935313342,0.42738716942003696
16,3535,0.5915492957746479,0.525855650497393,0.512644745903871
16,4040,0.6232394366197183,0.6098336349827036,0.5673129947027467
16,4545,0.6126760563380281,0.5719973396360453,0.5534883720930233
16,5050,0.6232394366197183,0.5764322004485855,0.5667548948291776
16,5555,0.6690140845070423,0.6060056511496036,0.590870588235294
16,6038,0.6514084507042254,0.5807655330742741,0.5719780483128836
17,505,0.47183098591549294,0.3285642052334952,0.3288780313798825
17,1010,0.41901408450704225,0.40099720270995154,0.15138351463824196
17,1515,0.5176056338028169,0.4360001491301914,0.40825214511770647
17,2020,0.5563380281690141,0.4699582050754383,0.408644557542046
17,2525,0.5809859154929577,0.5004788516787921,0.4871656896867558
17,3030,0.6373239436619719,0.5706864144780376,0.5636795455929491
17,3535,0.5845070422535211,0.48024150419337186,0.47539537385691233
17,4040,0.6161971830985915,0.5296215146081727,0.5161883472743005
17,4545,0.6373239436619719,0.5628185317844688,0.5581084644458116
17,5050,0.6161971830985915,0.5648730227177342,0.5174413689318746
