i,perc,n,acc,cor,alpha
2,0.8105263157894737,4953,0.6302816901408451,0.4684957951038824,0.456461055208214
2,0.8578947368421053,5202,0.6267605633802817,0.4643401656778635,0.4289655172413793
2,0.9052631578947369,5473,0.6443661971830986,0.47277576949075134,0.46755773480507656
2,0.9526315789473684,5752,0.6690140845070423,0.5587931114828031,0.5516847754941747
2,1.0,6038,0.6338028169014085,0.5564291643453267,0.5491559990531165
3,0.1,605,0.4507042253521127,0.1448878754232271,0.11027292170355218
3,0.1473684210526316,915,0.5352112676056338,0.33348763300469875,0.22399208508533264
3,0.19473684210526315,1154,0.41901408450704225,0.1956199444769877,0.07216034751217393
3,0.24210526315789474,1402,0.5563380281690141,0.3562366173553255,0.32687775749951276
3,0.2894736842105263,1752,0.5704225352112676,0.39318760441639244,0.3047626651762545
3,0.33684210526315794,2028,0.5528169014084507,0.3478068806628614,0.31039848741548803
3,0.38421052631578945,2245,0.6408450704225352,0.4836229390898146,0.4484666555099991
3,0.43157894736842106,2605,0.545774647887324,0.3954468776706054,0.36682510594433626
3,0.4789473684210527,2878,0.5774647887323944,0.3837425404679873,0.3683773126727691
3,0.5263157894736842,3232,0.6126760563380281,0.5239900346227103,0.5157335074296499
3,0.5736842105263158,3484,0.6584507042253521,0.4843847718122733,0.48406551549009647
3,0.6210526315789474,3790,0.647887323943662,0.5069709823138158,0.49894415497968647
3,0.6684210526315789,3999,0.6443661971830986,0.5155157019746948,0.5151306170864252
3,0.7157894736842105,4314,0.676056338028169,0.5237567029819035,0.5245840168736817
3,0.7631578947368421,4577,0.6619718309859155,0.5617407188755825,0.5616843254058479
3,0.8105263157894737,4908,0.6232394366197183,0.43719477664673995,0.4300389830092921
3,0.8578947368421053,5205,0.6830985915492958,0.5633034474299864,0.5615602715009881
3,0.9052631578947369,5446,0.676056338028169,0.47713401673509986,0.46882959707108096
3,0.9526315789473684,5774,0.573943661971831,0.37549765489803594,0.2959044776119403
3,1.0,6038,0.6091549295774648,0.4754000298714265,0.4456123197262283
4,0.1,627,0.5492957746478874,0.4246512829028791,0.4128714612273606
4,0.1473684210526316,905,0.5211267605633803,0.27285356872731886,0.17208946095312605
4,0.19473684210526315,1181,0.4964788732394366,0.23129657240952023,0.19160794318887242
4,0.24210526315789474,1505,0.545774647887324,0.3696098441381045,0.36723163841807915
4,0.2894736842105263,1826,0.5774647887323944,0.45775358926762655,0.4334654626480591
4,0.33684210526315794,2059,0.5950704225352113,0.40085719334069425,0.4004585523147469
4,0.38421052631578945,2316,0.5316901408450704,0.4410062518833051,0.39778366794495834
4,0.43157894736842106,2577,0.6232394366197183,0.4842198864443059,0.4799148936170212
4,0.4789473684210527,2879,0.6091549295774648,0.4992347614500401,0.49165021463114233
4,0.5263157894736842,3209,0.5669014084507042,0.4098342460110845,0.3819558959165992
4,0.5736842105263158,3473,0.5985915492957746,0.4421616775733399,0.41227151136870266
4,0.6210526315789474,3773,0.6373239436619719,0.489911860257473,0.48878218569152065
4,0.6684210526315789,4051,0.6443661971830986,0.5180182237699533,0.5128636663214385
4,0.7157894736842105,4304,0.647887323943662,0.4623665328217475,0.43155417038990473
4,0.7631578947368421,4633,0.6514084507042254,0.5562818537540569,0.5492962868676583
4,0.8105263157894737,4892,0.6056338028169014,0.530919378576578,0.5201015658061787
4,0.8578947368421053,5212,0.6830985915492958,0.5455504973452947,0.544916489672456
4,0.9052631578947369,5457,0.647887323943662,0.5366700134058617,0.5216400911161732
4,0.9526315789473684,5726,0.6514084507042254,0.5475877043059955,0.5380123576941358
4,1.0,6038,0.647887323943662,0.5323622911426089,0.5296597806623607
5,0.1,592,0.4964788732394366,0.35778451622806645,0.2934579439252337
5,0.1473684210526316,894,0.5774647887323944,0.3732896901987464,0.3505394620159621
5,0.19473684210526315,1163,0.49295774647887325,0.3494887170151356,0.23321489181162502
5,0.24210526315789474,1519,0.6161971830985915,0.4967585166522649,0.49090463863429656
5,0.2894736842105263,1733,0.5669014084507042,0.37860077084397237,0.36823730408299693
5,0.33684210526315794,2063,0.6126760563380281,0.4435766826200757,0.4363729097599184
5,0.38421052631578945,2300,0.5915492957746479,0.4654052291358714,0.4565745790846574
5,0.43157894736842106,2616,0.6267605633802817,0.4999397620613494,0.48850800125509886
5,0.4789473684210527,2916,0.6302816901408451,0.5018171520388031,0.4946724233541947
5,0.5263157894736842,3158,0.6232394366197183,0.4954578331729986,0.49570461310671377
5,0.5736842105263158,3409,0.6126760563380281,0.5027504585759434,0.5004543546549441
5,0.6210526315789474,3749,0.6690140845070423,0.5298513783973576,0.5276275948450706
5,0.6684210526315789,4049,0.6619718309859155,0.5825447345108571,0.5667345899133979
5,0.7157894736842105,4360,0.6056338028169014,0.4264448708481335,0.39427164158963635
5,0.7631578947368421,4608,0.676056338028169,0.5821711466278552,0.5823160464724702
5,0.8105263157894737,4879,0.6725352112676056,0.537102312268596,0.5352334520907558
5,0.8578947368421053,5096,0.6654929577464789,0.5309274408274899,0.5226782744389462
5,0.9052631578947369,5439,0.6654929577464789,0.5079293270870322,0.5079632465543644
5,0.9526315789473684,5748,0.6654929577464789,0.554261981853465,0.5347595159364605
5,1.0,6038,0.6725352112676056,0.5522607857639457,0.5359221535103674
